vid_id,question,answer,s0,s1,s2,s3,s4
4010069381,how do the two man play the instrument,0,Play the instrument by rolling the handle.,Play the instrument by tapping your feet.,Play the instrument by strumming the string.,Play the instrument by hitting with sticks.,Play the instrument by patting with your hand.
2435100235,how does the man cycling try to sell the watch to the man in the trishaw,2,The man cycling tries to sell the watch to the man in the trishaw by giving him the catalogue.,The man cycling tries to sell the watch to the man in the trishaw by showing him a video.,The man cycling tries to sell the watch to the man in the trishaw by showing him the watch.,The man cycling tries to sell the watch to the man in the trishaw by dismounting his bicycle.,The man cycling tries to sell the watch to the man in the trishaw by giving him the watch strap.
2834146886,what does the white dog do after going to the cushion,2,The white dog drinks again after going to the cushion.,The white dog shakes its body after going to the cushion.,The white dog smells the black dog after going to the cushion.,The white dog wags its tail after going to the cushion.,The white dog touches the lady in blue stripes after going to the cushion.
8132842161,why did the man in white hold tightly to the boy in white,3,Hold tightly to the boy in white to force him to look straight.,Hold tightly to the boy in white and dance with him.,Hold tightly to the boy in white to pose for the camera.,Hold tightly to the boy in white to prevent him from falling off.,Hold tightly to the boy in white because he keeps moving around.
3462517143,why is the white dog walking around the green container,1,The white dog chases around the green container.,The white dog gets a drink around the green container.,The white dog shows fashion for dogs around the green container.,The white dog leads the way around the green container.,The white dog gets excited around the green container.
3441428429,what does the female skater do after the male skater puts her back down on the ice,1,female skater puts her hand in her mouth after the male skater puts her back down on the ice.,female skater continues skating after the male skater puts her back down on the ice.,female skater jumps after the male skater puts her back down on the ice.,female skater moves her arms up and down after the male skater puts her back down on the ice.,female skater laughs and runs forward after the male skater puts her back down on the ice.
5026660202,why are there high chairs on the stage,1,Place the microphones on the high chairs.,"Guitarists, sit comfortably on the high chairs.","Audience, sit on the high chairs.",Use the high chairs as displays.,Take up stage spaces with the high chairs.
5735711594,how did the white dog respond to the brown dog when it attacks from its tail,1,The white dog responded to the brown dog when it attacks from its tail by following it.,The white dog responded to the brown dog when it attacks from its tail by hopping away.,The white dog responded to the brown dog when it attacks from its tail by wagging.,The white dog responded to the brown dog when it attacks from its tail by getting ready to run away.,The white dog responded to the brown dog when it attacks from its tail by moving its head.
5296635780,what does the man do after the lady appear to punch him and smiles,3,man looks at him after the lady appears to punch him and smiles.,man touches their chests after the lady appears to punch him and smiles.,man kicks him after the lady appears to punch him and smiles.,man leans forward after the lady appears to punch him and smiles.,man sits back properly after the lady appears to punch him and smiles.
6329077812,why is the lady holding the baby,4,Hold the baby to protect it.,Carry the baby.,Adjust the bottle.,Hold the baby to make it easier to carry around.,Feed the baby.
6793786769,what is the person in black behind the boy doing as the boy plays with the train,1,The person in black behind the boy is playing with a ball as the boy plays with the train.,The person in black behind the boy is watching as the boy plays with the train.,The person in black behind the boy is watching television as the boy plays with the train.,The person in black behind the boy is reading a book as the boy plays with the train.,The person in black behind the boy is sleeping as the boy plays with the train.
3158022797,why are the people synchronizing their moves,1,Synchronize your moves with choreography.,Synchronize your moves as part of the game.,Synchronize your moves in one direction only.,Synchronize your moves by moving with the rhythm.,Synchronize your moves to the rhythm.
6582763207,why is the lady standing in the middle tapping on the instrument in the beginning,3,Stand in the middle and tap on the instrument to talk to girl,Stand in the middle and tap on the instrument to get the baby's attention,Stand in the middle and tap on the instrument to talk to the crowd,Stand in the middle and tap on the instrument to play it,Stand in the middle and tap on the instrument for a dance move
7416295940,what does the dog do after the baby touches and caresses the dog s back,1,dog smiles and wants to pet it after the baby touches and caresses its back.,dog backs away after the baby touches and caresses its back.,dog gets up and sniffs the boy after the baby touches and caresses its back.,dog plays with a toy after the baby touches and caresses its back.,dog is feeding after the baby touches and caresses its back.
3943634344,what did the girl do after she finished reciting the pictures on the book,2,girl hugs the girl after she finishes reciting the pictures on the book.,girl smiles after she finishes reciting the pictures on the book.,girl stands up after she finishes reciting the pictures on the book.,girl continues talking after she finishes reciting the pictures on the book.,girl nods after she finishes reciting the pictures on the book.
5333075105,why is the man on all fours as he travelled through the thick snow,1,The man on all fours travels through the thick snow by looking at the cameraman,The man on all fours travels through the thick snow because the snow is too thick,The man on all fours travels through the thick snow by trying to move forward,The man on all fours travels through the thick snow because of the snow mountain,The man on all fours travels through the thick snow because of the obstacles
5679866364,how does the old man respond when the old woman turns to him at the beginning,1,old man responds when the old woman turns to him at the beginning by walking away.,old man responds when the old woman turns to him at the beginning by talking.,old man responds when the old woman turns to him at the beginning by moving around.,old man responds when the old woman turns to him at the beginning by going back in line.,old man responds when the old woman turns to him at the beginning by being happy.
4094488636,what does the brown dog do after stepping over the red strap near the start,1,The brown dog mounts the black dog after stepping over the red strap near the start,The brown dog looks around after stepping over the red strap near the start,The brown dog looks at the camera after stepping over the red strap near the start,The brown dog walks away after stepping over the red strap near the start,The brown dog walks away after stepping over the red strap near the start
3562017845,how did the bird in the front get to the other side of the land,1,The bird in the front got to the other side of the land by putting its hand out.,The bird in the front got to the other side of the land by walking.,The bird in the front got to the other side of the land by flying on the lady's arm.,The bird in the front got to the other side of the land by swimming.,The bird in the front got to the other side of the land by jumping.
3429509208,what did the baby do after he approached near the camera,2,The baby moved his legs after approaching near the camera.,The baby sucked his thumb after approaching near the camera.,The baby raised his hand to take the camera after approaching near the camera.,The baby turned back to the toy after approaching near the camera.,The baby got bored after approaching near the camera.
6329077812,what did the lady do before wipping the baby s mouth,4,The lady touches the baby again before wiping the baby's mouth.,The lady turns away before wiping the baby's mouth.,The lady adjusts the baby in grey before wiping the baby's mouth.,The lady smiles before wiping the baby's mouth.,The lady takes a napkin before wiping the baby's mouth.
4815534482,why did the boy shift around,4,Shift around by sitting on a swing.,Shift around by looking for his toys.,Shift around by dancing.,Shift around by reaching for the horn.,Shift around by playing around.
4263096481,how does the man cut the fish first,4,man cuts the fish first by cutting the tail.,man cuts the fish first by cutting the body.,man cuts the fish first by removing the fins.,man cuts the fish first by removing the scale.,man cuts the fish first by cutting off the head.
5902452647,why did the baby hold the ball and moving forward,3,"Hold the ball and give it to the lady, baby.","Kick off the ground, baby.","Throw the ball, baby.","Play with the girl, baby.","Walk, person inside."
3066064005,why is the woman in purple holding on to a bunch of cutlery,0,Hold on to a bunch of cutlery and distribute it.,Hold on to a bunch of cutlery and cut cake with it.,Hold on to a bunch of cutlery because you just bought new cutlery.,Hold on to a bunch of cutlery and demonstrate a cooking class.,Hold on to a bunch of cutlery and pose for the camera.
5256928210,what does the man do as the dog stood in front of him,4,The man walks towards the cameraman as the dog stands in front of him.,The man bends down to hug the dog as it stands in front of him.,The man rests as the dog stands in front of him.,The man jumps over the dog as it stands in front of him.,The man pets the dog's back as it stands in front of him.
4984331176,why are the people running,3,The people are running by racing.,The people are running to catch the ball.,The people are running for emergency escape.,The people are running because they want to pass quickly.,The people are running because the gate is closing.
6624174621,what does the girl do as the lady is sitting in front of the cake,4,girl observes the baby as the lady is sitting in front of the cake.,girl takes it away as the lady is sitting in front of the cake.,girl clicks the picture as the lady is sitting in front of the cake.,girl feeds the baby with a spoon as the lady is sitting in front of the cake.,girl sits next to the lady as the lady is sitting in front of the cake.
9088819598,what does the baby do after the ball rolls to the crook of his arm,4,The baby swings with the man after the ball rolls to the crook of his arm.,The baby watches the ball after it rolls to the crook of his arm.,The baby stretches his arms after the ball rolls to the crook of his arm.,The baby throws the ball after it rolls to the crook of his arm.,The baby moves his body after the ball rolls to the crook of his arm.
9565310990,what does the baby do after reaching the corner of the cloth,1,Baby swings it around after reaching the corner of the cloth,Baby touches the cloth after reaching the corner of the cloth,Baby turns to his back after reaching the corner of the cloth,Baby looks at the other side after reaching the corner of the cloth,Baby walks after reaching the corner of the cloth
