video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
4010069381,369,640,480,how do the two man play the instrument,0,6,CH,roll the handle,tap their feet,strum the string,hit with sticks,pat with hand
2435100235,1906,640,480,how does the man cycling try to sell the watch to the man in the trishaw,2,7,CH,give him catalogue,show him a video,show him the watch,dismount his bicycle,give him the watch strap
2834146886,1881,496,370,what does the white dog do after going to the cushion,2,8,TN,drink again,shake its body,smells the black dog,wagging tail,touch lady in blue stripes
8132842161,1105,640,360,why did the man in white hold tightly to the boy in white,3,2,CW,forcing boy to look straight,dancing with boy,posing for camera,prevent falling off,boy keeps moving around
3462517143,722,640,480,why is the white dog walking around the green container,1,2,CW,chasing,get drink,fashion for dogs,leading the way,excited
3441428429,2697,640,480,what does the female skater do after the male skater puts her back down on the ice,1,10,TN,put hand in mouth,continue skating,jump,move her arms up and down,laugh and run forward
5026660202,2697,640,480,why are there high chairs on the stage,1,8,CW,to place the microphones,for guitarists to sit comfortably,for audience to sit,to act as displays,to take up stage spaces
5735711594,589,272,480,how did the white dog respond to the brown dog when it attacks from its tail,1,5,TC,follow it,hopped away,wagging,ready to run away,move his head
9088819598,670,640,480,why does the baby keep the ball near his mouth in the beginning,1,1,CW,take a photo,lick it,smelling the ball,blow it away,kiss it
5296635780,652,640,480,what does the man do after the lady appear to punch him and smiles,3,7,TN,look at him,touch their chests,kick him,lean forward,sit back properly
2614918961,1311,640,480,why does the baby turn around near the end of the video,1,1,CW,yawning,sits down to play,to see the toy,move towards toy,curious
6201488511,2575,640,360,why did the lady put her hands over her eyes in the middle of the video,2,5,CW,posing in the camera,adjust her hair,protection from sun,to wipe her eyes,cue woman to talk
2793260225,558,500,375,how did the lady and man on top try to keep their balance,1,6,CH,hold the ropes tightly,held each other,walk side to side,hold ski stick,standing still
6329077812,1835,640,360,why is the lady holding the baby,4,2,CW,to protect the baby,carry baby,adjust bottle,ease of carrying around,feed baby
6793786769,1158,640,360,what is the person in black behind the boy doing as the boy plays with the train,1,5,TC,playing with ball,watch,watching television,reading a book,sleeping
3158022797,2697,640,480,why are the people synchronizing their moves,1,2,CW,choreography,part of game,one direction only,move with the rhythm,moving to the rhythm
6582763207,696,640,360,why is the lady standing in the middle tapping on the instrument in the beginning,3,2,CW,talking to girl,to get the baby s attention,talking to the crowd,playing it,dance move
7416295940,2388,640,384,what does the dog do after the baby touches and caresses the dog s back,1,7,TN,smile and wants to pet it,backed away,get up and sniff boy,play with toy,feeding
3943634344,629,640,360,what did the girl do after she finished reciting the pictures on the book,2,4,TN,hug the girl,smile,stand up,continue tlaking,nod
5833145209,510,640,480,why did the brown bird bend over into the water,0,5,CW,drink water,look down,resting,to wet its head,peck fishes
5333075105,1168,640,480,why is the man on all fours as he travelled through the thick snow,1,10,CW,look at the cameraman,snow too thick,trying to move forward,snow mountain,obstacles
5679866364,750,640,480,how does the old man respond when the old woman turns to him at the beginning,1,1,TC,walks away,talk,moves around,goes back in line,happy
5116088152,1205,640,360,why did the baby put his other hand on the fruit after awhile of putting the fruit in his mouth,0,1,CW,hold tight,chocolate stuck on his fingers,to be more comfortable,pull fruit out,to make it less messy
4094488636,810,640,360,what does the brown dog do after stepping over the red strap near the start,1,4,TN,mount the black dog,look around,looks at the camera,walks away,walk away
3562017845,1200,640,428,how did the bird in the front get to the other side of the land,1,7,CH,put its hand out,walking,fly on lady s arm,swim,jump
3429509208,374,640,480,what did the baby do after he approached near the camera,2,3,TN,move his legs,suck his thumb,raised his hand to take the camera,turn back to the toy,bored
3943634344,629,640,360,how did the lady compliment the girl at the end of the video,3,8,CH,kissed her head,pointing her finger,puts hand on the baby s head,claps,stand facing the man
6329077812,1835,640,360,what did the lady do before wipping the baby s mouth,4,7,TP,touch the baby again,turn away,adjusts the baby in grey,smiling,take napkin
4815534482,2250,640,362,why did the boy shift around,4,7,CW,sitting on a swing,looking for his toys,dancing,reaching for the horn,play around
4263096481,637,320,240,how does the man cut the fish first,4,0,CH,cut the tail,cut the body,remove the fins,remove the scale,cut off the head
5902452647,812,640,480,why did the baby hold the ball and moving forward,3,0,CW,give ball to lady,kick off the ground,to throw it,wants to play with girl,person inside is walking
3066064005,819,640,480,why is the woman in purple holding on to a bunch of cutlery,0,1,CW,distributing cutlery,cut cake,she just bought new cutlery,demostrating a cooking class,posing for camera
5256928210,606,640,360,what does the man do as the dog stood in front of him,4,1,TC,walk towards the cameraman,bends down to hug dog,resting,jump over dog,pet its back
4984331176,300,640,480,why are the people running,3,1,CW,racing,catch ball,emergency escape,want to pass quickly,gate is closing
4822859674,861,640,480,why does the baby start climbing on the floor after walking for a while at the start of the video,3,2,CW,air from balloon,to climb down the stairs,hit toys,fall over,to drink
4978714491,1200,640,480,why did both buses sudden start to drive off after they stopped for a while,4,2,CW,dog moves away,people have gotten off bus,finished the drill,difference in ground levels,traffic signal turned green
6624174621,1212,640,480,what does the girl do as the lady is sitting in front of the cake,4,0,TC,observing the baby,take it away,click the picture,feed baby with spoon,sit next to lady
9088819598,670,640,480,what does the baby do after the ball rolls to the crook of his arm,4,5,TN,swings with the man,watch the ball,stretches his arms,throws it,move his body
9565310990,1066,640,360,what does the baby do after reaching the corner of the cloth,1,7,TN,swing it around,touch the cloth,turn to his back,looks at the other side,walking
5635265624,584,480,640,how does the lady show affection to the baby,0,2,CH,pat head,move it towards the baby,kiss the baby,put baby on her lap,caress baby head
2830899473,429,640,480,why do the men have their hands around each other,0,1,CW,show affection,uniform costume,prevent camera drop,coordinate their moves,lure the dog to jump
8464056582,1340,640,360,what does the dog do after the baby sits down at the start,1,4,TN,play with dog,sniff the babys head,love,move to the other side,happy
3121571439,1212,640,428,how does the man in black feel after the dance,0,3,TN,happy,pick something up,look at the man in white,raise his eyebrows,continued
9473479950,608,640,480,how did the lady ensure she does not dirty the floor while eating watermelon,2,1,CH,tie it up,wear bib,bowl,wear vest,tie hair up
8064178441,2229,640,1138,what does the baby do after moving the penguin toy nearer to him near the end of the video,2,7,TN,toy,poke dough,toss it away,moves it around,look at the camera
2793806282,1925,320,240,what did the lady in blue do when she reached the stairs,1,12,TC,put head on table,sit on stairs,goes to get food,move hands around,jump down stairs
4138579400,601,640,480,what did the boy do after touching his spectacles,2,6,TN,look into camera,touch the cat,touch his hair,starts running with the trolley,play with toy
5328004991,788,640,480,how does the child react after the woman takes over the stirrer,3,9,TN,turns around,push food back in the mouth,moves forward,wants it back,stand beside the car
2435633172,2293,500,375,what do the people do as the pig was scratching itself against the rock,0,5,TC,take photos,playing,move ball towards it,sleeping,climb onto lap
4273039295,2214,640,360,what does the woman in green beanie do as the child in runs pass him,3,7,TC,touch the girl,hit the golf ball,kicks again,take a step forward,run and catch him
3151715056,1895,640,480,how does the lady on the right interact with the girl on the chair,4,7,CH,dance with her,support the girl from the back,swing her hands,shake hands with her,bend down and touch her
8557532213,379,640,360,why did the boy in yellow look at the boy in blue before the boy in blue kicked the ball,3,8,CW,to see lady,bring ball with him,check on him,waiting to catch ball,wave to him
10597533885,1728,640,360,what does the baby do after touching the toy house in the middle,1,4,TN,takes support,plays with another toy,push the toy train,crawls forward,dances
8783897632,974,640,360,how do the two people transport the bikes down the slope,3,2,CH,throw down,use feet to pedal,put down on the ground,by pushing,by car
11244289523,552,640,360,how did the baby react when she first saw the tissue,4,4,TC,hit the adult,play with owl toy,bites it,continues walking,move away
14012319794,3010,640,360,why did the girl take the piece of card at the start of the video,0,8,CW,play with it,keep toys,lose interest in lady,curious,handing to boy
3249402410,697,640,480,what did the lady in pink do after the lady in red passed her the pan,2,9,TN,talk to the person in front,pick up hat,walk away,take a photo,take the plate
4485498145,496,640,480,what does the lady in pink do after drinking some water at the start,3,0,TN,taps water with her foot,turns around,make more bubbles,talk to the person in front,take the brush out
4010069381,369,640,480,why did the lady bend towards the man with brown vest,1,1,CW,trim eyebrows,talk with man,pass paper,look at his phone,prevent hair get wet
2809330695,2158,320,240,how does the baby try to get the pink toy near the end,1,9,CH,call for help,pull the pink toy,kick his legs,pull the string,move closer to the toy
3445431963,1276,640,480,how does the first diver react to the camera filming,3,2,TC,he gave a thumbs up,turns it on,look around,wave her fingers,sitting
3719793245,342,640,480,why is the girl moving her arms around in front of her,1,8,CW,driving,spinning wheel,to catch rolling fallen bapple,pretend to hit the drum,playing
7114553643,1974,640,480,what did the man in brown vest do after he stood up in the middle of the video,4,1,TN,put in front of baby,laugh,hold the leash and pat dog,look back at blonde girl,hold the lady s hand
2503404966,840,640,480,why did the boy stopped walking and looked up,3,2,CW,someone called him,adjust his shoes,posing for camera,became dark,reaching for food
6025238212,758,640,360,why did the girl in gold hold onto her party eye masks in the middle of the video,1,1,CW,lose interest in lady,adjusting to see better,waves getting bigger,to get down the step,laugh
3784543730,852,640,480,why is the black shirt man moving his legs up and down on the bicycle,1,1,CW,to help her ride with supporters,cycling,travelling on road,trying tricks,crossing muddy fields
5328616848,446,640,480,what was the boy doing while the woman was pouring the ingredients,0,5,TC,fidgeting with something,pretend to feed toy dog,watch tv,pour water on dog,drying clothes
4087654898,330,640,480,how did the children fill up the bucket,0,0,CH,turn on the tap,through straw,person bringing food to baby mouth,touch the top of bottle,sit around on the floor
5803861992,2145,640,480,why is the girl smiling,0,0,CW,adult plays with her,shy,finds baby amusing,enjoy skiing,playing with balloons
3972259774,1063,640,480,what does the man do after removing the card from the camera at the start,0,0,TN,sit down,look at the camera,heat the red tube in machine,stop,motorcycle drove past
6078524411,2512,640,360,why did the baby put his head on the table,1,7,CW,tall enough to help,tired,playing,to eat the food,lick yogurt taste
4388652400,1785,640,480,what happened to the dog when it looks at someone near the start,4,2,TC,hold up a cup,ignore baby,grab the mouth,bark,touched by the man
9408800471,1056,640,480,how does the boy pass the ball at the beginning of the video,4,0,CH,using the baby walker,throw ball towards the man,with his fingers behind the ball,use legs to push,hit ball using hands
3471421544,1786,640,480,how does the baby move the chair,0,4,CH,jumps,push,crawling,fall,pull
10030609934,1680,640,360,why was the boy at the brown table near the stairs at the beginning of the video,4,1,CW,wanted to lie down,dancing,to touch the sandals,get on sofa,bending down to look at ground
7164729910,656,640,360,how does the boy ensure he does not hit the sofa at the end,2,8,CH,let go of boy s hand,get up from toy car,look behind him,run away from sofa,step backward
5333075105,1168,640,480,what did the man do after he reached the cameraman,2,11,TN,play with toy,inspect wings,stop,move to the side,pick up something
3557498300,849,640,480,what does the adult do after approaching the two kids at the end,1,9,TN,play guitar and sing,separate the kids,pick up the kids,pick up grass,lean against the screen
4013751996,764,320,240,why does the girl face downwards while talking,3,7,CW,eye contact,chewing,talking,talking to someone on the grass,interacting with boy
5229476012,810,640,480,why did the woman in black swimsuit spin the boy in a circle,4,1,CW,posing,do not want wet hair,for her to distribute,not proficient at swimming,playing in water
5801184682,1683,640,480,what did the cat do after the human puts the hand on the floor,3,2,TN,bite it,sit there,ran away,play with the hand,play with cat
3078294001,335,640,480,what does the man in black do as the man in white moved away,4,6,TC,rotates,drink water,pick up something from ground,bend towards man in red,hand gesture and talks
4838145161,1921,640,480,why does the cat suddenly move back at the start of the video,3,1,CW,waiting for owner,saw the person,attracted towards the bubble,face got wet,clean itself
2696280239,398,640,480,how was the person on the bull moving his right arm,0,7,CH,swinging in the air,using his fingers,beat drum vigorously,beating it,with the sticks
5328004991,788,640,480,what does the boy do after picking up a box near the end,4,6,TN,pass toy to baby,swing it down,climb up,enters a room,shakes the box
10082798964,345,640,360,why does the lady raise her right hand halfway through the video,4,6,CW,play with baby,dancing,pick up the ball,pick up blanket,one of the gestures she s teaching
